Year,Primary Job Title,Base Pay
2015,Assistant Professor,70321.0
2016,Assistant Professor,72873.05
2017,Associate Professor,79432.0
2018,Associate Professor,84603.0
2019,Associate Professor,67200.0
2020,Associate Professor,86934.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2017,Assistant Professor,30000.0
2018,Assistant Professor,30000.0
2019,Assistant Professor,30000.0
2020,Assistant Professor,30000.0
2016,Associate Professor,30000.0
2017,Associate Professor,30000.0
2018,Associate Professor,19800.0
2019,Associate Professor,19800.0
2020,Associate Professor,19800.0
2015,Associate Professor,30000.0
2019,Assistant Professor,40500.0
2020,Assistant Professor,34425.0
2015,Associate Professor,35000.0
2016,Associate Professor,35000.0
2017,Associate Professor,35000.0
2018,Associate Professor,35000.0
2019,Associate Professor,35000.0
2020,Associate Professor,35000.0
2015,Professor,63050.0
2016,Professor,63050.0
2017,Professor,63050.0
2018,Professor,63050.0
2019,Professor,63050.0
2020,Professor,59930.0
2018,Assistant Professor,35000.0
2019,Assistant Professor,35000.0
2020,Assistant Professor,35000.0
2015,Professor,90415.0
2016,Professor,109375.25
2017,Professor,109375.0
2018,Professor,115113.0
2019,Professor,118256.0
2020,Professor,115723.0
2015,Assistant Professor,66372.0
2016,Assistant Professor,69935.0
2017,Assistant Professor,69935.0
2018,Assistant Professor,74401.0
2019,Associate Professor,83786.0
2020,Associate Professor,90000.0
2015,Clinical Professor,83722.0
2016,Clinical Professor,87680.28
2017,Clinical Professor,87680.0
2018,Clinical Professor,93761.0
2019,Clinical Professor,96794.0
2020,Clinical Professor,96794.0
2019,Assistant Professor,51610.0
2020,Assistant Professor,51610.0
2015,Professor,152000.0
2016,Professor,152000.0
2017,Professor,152000.0
2018,Professor,152000.0
2019,Professor,152000.0
2020,Professor,144400.0
2015,Associate Professor,40000.0
2016,Associate Professor,40000.0
2017,Associate Professor,40000.0
2018,Associate Professor,40000.0
2019,Associate Professor,40000.0
2020,Associate Professor,40000.0
2015,Assistant Professor,15000.0
2016,Assistant Professor,15000.0
2017,Assistant Professor,15000.0
2018,Assistant Professor,15000.0
2019,Assistant Professor,15000.0
2020,Assistant Professor,15000.0
2019,Assistant Professor,48000.0
2020,Assistant Professor,47090.0
2015,Assistant Professor,74119.0
2016,Associate Professor,65166.0
2017,Associate Professor,84303.0
