University Name,Students,Professors,Tuition In-State,Tuition Out-of-State,Courses,Years
Alabama A & M University,5726,366,10024,18634,52,5
University of Alabama at Birmingham,12118,183,8832,21864,265,4
Amridge University,226,440,10411.72152,15904.82278,110,6
University of Alabama in Huntsville,6650,194,11770,24662,133,5
Alabama State University,3322,223,11248,19576,135,6
The University of Alabama,32323,431,11900,33200,141,3
Central Alabama Community College,1134,368,5040,8850,59,6
Athens State University,2407,489,10411.72152,15904.82278,75,3
Auburn University at Montgomery,2693,298,9436,20092,151,6
Auburn University,25732,325,12536,33944,97,5
Birmingham-Southern College,713,220,22750,22750,125,6
Chattahoochee Valley Community College,1044,431,5040,8850,277,6
South University-Montgomery,302,199,18238,18238,176,5
Enterprise State Community College,1476,318,5040,8850,217,3
Coastal Alabama Community College,4714,383,4980,8790,183,3
Faulkner University,1555,412,23920,23920,254,4
Gadsden State Community College,3619,333,4032,7080,106,5
New Beginning College of Cosmetology,39,128,10411.72152,15904.82278,189,6
George C Wallace Community College-Dothan,3053,403,4920,8730,178,3
George C Wallace State Community College-Hanceville,4413,269,4980,8790,248,3
George C Wallace State Community College-Selma,828,62,4680,8490,177,4
Herzing University-Birmingham,445,356,13420,13420,206,6
Huntingdon College,865,171,28650,28650,210,3
Heritage Christian University,63,301,11982,11982,229,3
J. F. Drake State Community and Technical College,719,172,5130,8940,82,4
J F Ingram State Technical College,826,86,6084,6084,161,4
Jacksonville State University,7030,96,12426,22716,152,3
Jefferson State Community College,5443,251,5040,8850,263,3
John C Calhoun State Community College,6928,122,5060,8870,185,3
Lawson State Community College,2720,218,4980,8790,249,4
University of West Alabama,2666,241,10990,20090,292,6
Lurleen B Wallace Community College,1122,462,4980,8790,209,3
Marion Military Institute,308,396,9538,15538,181,4
Miles College,1151,462,12714,12714,93,6
University of Mobile,1079,432,26120,26120,88,6
University of Montevallo,2087,264,13710,26730,198,3
Northwest Shoals Community College,1924,196,5071,8881,130,4
University of North Alabama,5468,478,11990,22190,161,5
Northeast Alabama Community College,1547,256,4980,8790,172,5
Oakwood University,1253,416,21838,21838,180,6
Reid State Technical College,365,233,6100,10700,159,6
Bishop State Community College,2100,167,5280,9090,179,6
Samford University,3828,230,38144,38144,170,4
Selma University,34,491,4800,4800,116,3
Shelton State Community College,3191,229,5067,8877,130,4
Snead State Community College,1494,438,5472,9536,265,5
University of South Alabama,8540,264,9676,18652,299,4
Spring Hill College,850,433,23270,23270,244,5
Stillman College,761,446,11392,11392,53,6
Talladega College,782,126,15650,15650,92,6
H Councill Trenholm State Community College,1584,81,4890,8700,213,5
Troy University,10089,410,9792,19584,181,6
Tuskegee University,2367,317,23440,23440,78,6
United States Sports University,136,340,18900,18900,182,4
Bevill State Community College,2189,465,4678,8234,154,3
University of Alaska Anchorage,6916,210,7566,21693,234,3
Alaska Bible College,34,77,10930,10930,58,3
University of Alaska Fairbanks,4027,115,8640,22752,91,4
University of Alaska Southeast,920,402,6960,21096,296,6
Alaska Pacific University,400,448,20760,20760,247,3
Alaska Vocational Technical Center,452,95,10411.72152,15904.82278,178,3
Charter College,2277,485,18678,18678,139,6
Alaska Career College,255,69,10411.72152,15904.82278,272,5
Empire Beauty School-Tucson,213,382,10411.72152,15904.82278,286,5
Carrington College-Phoenix North,1087,76,10411.72152,15904.82278,114,3
Carrington College-Mesa,492,109,10411.72152,15904.82278,298,5
Carrington College-Tucson,437,255,10411.72152,15904.82278,117,5
Arizona Academy of Beauty,49,271,10411.72152,15904.82278,299,5
Miller-Motte College-Arizona Automotive Institute,513,92,10411.72152,15904.82278,245,4
Brookline College-Phoenix,714,133,10411.72152,15904.82278,254,6
Arizona State University Campus Immersion,64398,339,12051,32193,212,5
Arizona Western College,6198,341,3020,9830,108,6
University of Arizona,40769,224,13626,41095,240,4
Central Arizona College,4892,138,2250,4500,76,3
Charles of Italy Beauty College,88,419,10411.72152,15904.82278,88,5
Cochise County Community College District,3007,331,2232,6000,173,3
Empire Beauty School-Chandler,98,207,10411.72152,15904.82278,274,3
Avalon Institute-Mesa,388,291,10411.72152,15904.82278,132,6
Eastern Arizona College,3058,59,2352,9552,258,4
Embry-Riddle Aeronautical University-Prescott,3245,155,42204,42204,277,4
The School of Architecture,8889,104,10411.72152,15904.82278,231,4
Glendale Community College,10180,221,2358,8958,64,5
Grand Canyon University,68619,382,17450,17450,56,3
GateWay Community College,3473,461,2358,8958,203,6
Mesa Community College,12049,375,2358,8958,278,5
Mohave Community College,2750,145,2136,7248,254,5
Universal Technical Institute-Phoenix,567,194,10411.72152,15904.82278,125,4
Dine College,1507,187,1410,1410,223,5
Northern Arizona University,23041,484,12652,28900,259,3
Northland Pioneer College,1024,461,2428,9851,275,5
Phoenix College,6952,402,2358,8958,202,4
Pima Community College,13869,277,2370,7686,229,3
Pima Medical Institute-Tucson,2619,397,10411.72152,15904.82278,242,4
Pima Medical Institute-Albuquerque,737,360,10411.72152,15904.82278,207,3
Prescott College,253,194,35685,35685,132,3
Refrigeration School Inc,1271,91,10411.72152,15904.82278,217,4
Rio Salado College,4879,294,2358,8958,76,5
Roberto-Venn School of Luthiery,15,433,10411.72152,15904.82278,278,3
Scottsdale Community College,4274,304,2358,8958,181,5
South Mountain Community College,2612,298,2358,8958,105,4
